product_id,product_name,price,product_description,inventory,weight,category_id,seller_id,product_views
p001,SmartHome Hub,110.5,A central control hub for all your smart home devices.,68,5.47,c01,s00001,800
p002,Wireless Bluetooth Earbuds,39.6,Enjoy wireless freedom with high-quality audio.,4,3.07,c01,s00001,818
p003,4K Ultra HD Smart TV,129.5,"Bring the cinema experience home with our 4K Ultra HD Smart TV, delivering stunning visuals and smart features.",1,4.86,c01,s00002,907
p004,Smart Coffee Maker,34.6,Brew your favorite coffee with smart features.,55,4.52,c02,s00002,851
p005,Non-Stick Cookware Set,124.5,Premium cookware for your kitchen.,44,3.19,c02,s00003,751
p006,Smart Mini Refrigerator,52.8,"Keep your food fresh and organized with our Smart Refrigerator, featuring advanced cooling technology.",30,6.66,c02,s00003,932
p007,Fitness Tracker,114.5,Track your fitness activities with this advanced device.,8,4.95,c03,s00004,845
p008,Camping Tent,28.5,Explore the outdoors with a durable camping tent.,9,9.39,c03,s00004,745
p009,Waterproof Hiking Boots,149.1,"Conquer any trail with our Waterproof Hiking Boots, keeping your feet dry and comfortable in any weather.",16,1.86,c03,s00005,815
p010,Classic Leather Jacket,22.5,"Make a statement with our Classic Leather Jacket, a timeless piece that never goes out of style.",27,2.45,c04,s00005,753
p011,Stylish Sunglasses,69.9,"Shield your eyes in style with our Stylish Sunglasses, the perfect accessory for any sunny day.",62,6.48,c04,s00365,891
p012,Cozy Knit Sweater,142.1,"Embrace warmth and comfort with our Cozy Knit Sweater, a versatile addition to your wardrobe.",87,1.03,c04,s00104,805
p013,Luxury Concealer,82.4,"Indulge in the ultimate concealer experience, promoting radiant and youthful skin.",13,5.26,c05,s00280,684
p014,Professional Hair Dryer,23.4,"Achieve salon-quality results at home with our Professional Hair Dryer, designed for efficiency and style.",16,1.51,c05,s00431,501
p015,Relaxing Aromatherapy Candle,62.4,"Unwind and de-stress with our Relaxing Aromatherapy Candle, creating a calming atmosphere in any room.",65,2.09,c05,s00483,527
p016,Fitness Tracker Watch,34.6,"Take charge of your health journey with our Fitness Tracker Watch, monitoring your activity and well-being.",19,3.43,c06,s00247,891
p017,Organic Superfood Blend,9.4,"Boost your nutrition with our Organic Superfood Blend, a powerhouse of essential nutrients for optimal health.",68,6.47,c06,s00075,683
p018,Meditation Pillow Set,73.6,"Find tranquility and peace with our Meditation Pillow Set, enhancing your meditation practice.",18,3.28,c06,s00132,645
p019,Interactive Robot Toy,6.5,"Spark creativity and play with our Interactive Robot Toy, providing endless entertainment for all ages.",3,7.5,c07,s00208,823
p020,Board Game Collection,132.5,"Gather friends and family for game night with our Board Game Collection, featuring classic and new favorites.",44,1.51,c07,s00169,904
p021,Kid's Building Blocks Set,86.2,"Foster imagination and creativity with our Kid's Building Blocks Set, a fun and educational playtime essential.",3,5.16,c07,s00122,966
p022,Car Care Kit,117.9,"Keep your vehicle in top condition with our Car Care Kit, featuring everything you need for a polished look.",28,4.34,c08,s00143,819
p023,Portable Tire Inflator,94.3,"Stay prepared on the road with our Portable Tire Inflator, ensuring optimal tire pressure wherever you go.",35,2.96,c08,s00050,579
p024,HD Dash Cam,117.3,"Capture every moment on the road with our HD Dash Cam, providing peace of mind and security.",55,9.8,c08,s00409,726
p025,Bestselling Mystery Novel,130.0,"Dive into a gripping mystery with our Bestselling Mystery Novel, a page-turner from start to finish.",86,6.87,c09,s00166,873
p026,Personal Development Guide,83.3,"Embark on a journey of self-discovery with our Personal Development Guide, unlocking your full potential.",88,4.39,c09,s00302,602
p027,Illustrated Children's Book,99.6,"Spark imagination and joy with our Illustrated Children's Book, a delightful adventure for young readers.",46,7.8,c09,s00162,510
p028,Solar-Powered Garden Lights,4.7,"Illuminate your garden with our Solar-Powered Garden Lights, adding a touch of magic to your outdoor space.",77,3.63,c10,s00439,610
p029,Folding Outdoor Lounge Chair,46.6,"Relax in style with our Folding Outdoor Lounge Chair, a comfortable and convenient seating solution.",94,2.08,c10,s00483,630
p030,Weather-Resistant Patio Umbrella,7.7,"Enjoy outdoor living to the fullest with our Weather-Resistant Patio Umbrella, providing shade and protection.",83,6.99,c10,s00475,911
p031,High-Performance Running Shoes,130.2,"Achieve your fitness goals with our High-Performance Running Shoes, designed for comfort and speed.",16,1.6,c11,s00259,663
p032,Moisture-Wicking Athletic Shirt,70.6,"Stay cool and dry during workouts with our Moisture-Wicking Athletic Shirt, perfect for intense training sessions.",86,6.47,c11,s00094,927
p033,Compression Fit Leggings,19.8,"Enhance your performance with our Compression Fit Leggings, offering support and flexibility for every move.",37,6.99,c11,s00459,891
p034,Elegant Diamond Necklace,143.2,"Adorn yourself with our Elegant Diamond Necklace, a timeless piece that adds sophistication to any outfit.",48,1.37,c12,s00001,726
p035,Stylish Silver Bracelet,135.8,"Complete your look with our Stylish Silver Bracelet, a versatile accessory for both casual and formal occasions.",6,5.0,c12,s00089,968
p036,Classic Gold Hoop Earrings,127.3,"Make a statement with our Classic Gold Hoop Earrings, a must-have addition to your jewelry collection.",76,2.49,c12,s00239,869
p037,Hydrating Facial Moisturizer,126.6,"Nourish and hydrate your skin with our Hydrating Facial Moisturizer, leaving it soft and supple.",2,3.58,c13,s00079,993
p038,Gentle Cleansing Foam,62.6,"Achieve a clean and refreshed complexion with our Gentle Cleansing Foam, suitable for daily use.",36,1.34,c13,s00402,505
p039,Anti-Aging Serum,47.4,"Turn back the clock with our Anti-Aging Serum, reducing fine lines and promoting youthful skin.",48,5.36,c13,s00132,775
p040,Multivitamin Capsules,36.2,"Support your overall health with our Multivitamin Capsules, providing essential nutrients for wellbeing.",23,8.35,c14,s00030,776
p041,Omega-3 Fish Oil Softgels,100.8,"Boost heart health with our Omega-3 Fish Oil Softgels, rich in fatty acids for cardiovascular support.",35,6.61,c14,s00500,601
p042,Immune System Booster Tablets,142.9,"Enhance your immune system with our Booster Tablets, formulated with key vitamins and minerals.",99,5.79,c14,s00493,669
p043,Strategic Card Game,23.5,"Engage in thrilling battles of strategy with our Strategic Card Game, perfect for game nights.",63,4.0,c15,s00471,913
p044,Classic Chess Set,112.2,"Exercise your mind with our Classic Chess Set, a timeless game of skill and strategy.",40,1.69,c15,s00253,595
p045,Family-Friendly Board Game,63.8,"Create lasting memories with our Family-Friendly Board Game, suitable for players of all ages.",54,2.31,c15,s00392,648
p046,Performance Gear Oil,6.2,"Enhance your car's performance with our high-quality Performance Gear Oil, designed for smooth and efficient gear operations.",78,6.59,c16,s00031,754
p047,Engine Degreaser Spray,38.5,"Keep your engine clean and running smoothly with our Engine Degreaser Spray, removing dirt and grime.",63,6.02,c16,s00106,656
p048,Heavy-Duty Transmission Fluid,113.5,"Ensure optimal transmission performance with our Heavy-Duty Transmission Fluid, formulated for durability and efficiency.",66,5.3,c16,s00123,767
p049,Premium Garden Pruner,16.6,"Achieve precision in your gardening tasks with our Premium Garden Pruner, designed for clean and accurate cuts.",51,6.62,c17,s00243,722
p050,Durable Garden Trowel,59.3,"Dig, plant, and transplant with ease using our Durable Garden Trowel, crafted for strength and efficiency.",41,1.6,c17,s00232,723
p051,Extendable Telescopic Lopper,54.4,"Reach high branches and trim with precision using our Extendable Telescopic Lopper, perfect for tree and shrub maintenance.",89,8.72,c17,s00489,574
